Disease Name,Severity Level,Urgency,Key Clinical Indicators,General Treatment Approach,Specialist Required,Typical Duration,India-Specific Notes
Thrombocytopenia (Severe),EMERGENCY,IMMEDIATE ER,"Platelet count <20000, bleeding gums, bruising, petechiae, internal bleeding risk","Platelet transfusion, treat underlying cause, bleeding precautions, hospitalization",Hematologist,5-14 days,"Can be caused by dengue, medications, or autoimmune conditions"
Leukemia (Suspected),URGENT,Within 48 hrs,"Abnormal WBC count, fever, fatigue, easy bruising, bone pain, infections","Comprehensive blood work, bone marrow biopsy, referral to oncology center, chemotherapy if confirmed",Hematologist/Oncologist,Months to years,Requires specialized cancer center; survival rates improving with modern therapy
Dengue Hemorrhagic Fever,EMERGENCY,IMMEDIATE ER,"Fever, platelet count <50000, abdominal pain, vomiting, bleeding manifestations","Hospitalization, IV fluid therapy, platelet monitoring, supportive care, no NSAIDs, strict monitoring",Infectious Disease/Intensivist,5-10 days,Endemic in India during monsoon; NS1 antigen test for early diagnosis; no specific antiviral
Sepsis,EMERGENCY,IMMEDIATE ER,"Fever/hypothermia, high WBC, confusion, rapid heart rate, low BP, organ dysfunction","ICU admission, broad-spectrum IV antibiotics, IV fluids, vasopressor support, source control, organ support",Intensivist/Infectious Disease,7-21 days hospital,High mortality; early recognition and treatment crucial
Malaria (Severe),EMERGENCY,IMMEDIATE ER,"High fever with chills, confusion, anemia, jaundice, organ failure","IV antimalarial therapy (artesunate), supportive care, ICU monitoring, blood transfusion if needed",Infectious Disease/Intensivist,7-14 days,Endemic in many parts of India; rapid diagnostic tests available; P. falciparum most dangerous
Typhoid Fever (Severe),URGENT,Within 24 hrs,"Prolonged high fever, abdominal pain, confusion, rose spots, relative bradycardia","IV antibiotics (ceftriaxone/azithromycin), IV fluids, supportive care, hospitalization",Infectious Disease,10-14 days,Common in India due to poor sanitation; blood culture for diagnosis; antibiotic resistance increasing
Meningitis,EMERGENCY,IMMEDIATE ER,"Severe headache, high fever, neck stiffness, confusion, photophobia, rash","Emergency IV antibiotics, steroids, lumbar puncture, ICU monitoring, isolation",Neurologist/Intensivist,10-21 days hospital,High mortality if delayed; viral vs bacterial differentiation crucial
COVID-19 (Severe),EMERGENCY,IMMEDIATE ER,"Fever, cough, severe shortness of breath, oxygen saturation <94%, chest pain","Oxygen therapy, antivirals (remdesivir), steroids (dexamethasone), anticoagulation, respiratory support, ICU if needed",Pulmonologist/Intensivist,10-21 days,Vaccination recommended; severity varies with variants; post-COVID complications common
Acute Pancreatitis,EMERGENCY,IMMEDIATE ER,"Severe upper abdominal pain radiating to back, nausea, vomiting, elevated amylase/lipase","NPO (nothing by mouth), IV fluids, pain management, nutritional support, treat underlying cause, hospitalization",Gastroenterologist,7-14 days,Often alcohol or gallstone-related; can be severe in India due to delayed presentation
Peritonitis,EMERGENCY,IMMEDIATE ER,"Severe abdominal pain, rigid abdomen, fever, high WBC, signs of perforation","Emergency surgery, IV antibiotics, fluid resuscitation, ICU care",General Surgeon/Intensivist,10-21 days,Surgical emergency; high mortality; often from appendicitis or peptic ulcer perforation
Gastrointestinal Bleeding (Severe),EMERGENCY,IMMEDIATE ER,"Low hemoglobin, black/bloody stools, vomiting blood, low BP, rapid heart rate","Emergency endoscopy, blood transfusion, IV proton pump inhibitors, hemostatic procedures, ICU monitoring",Gastroenterologist,5-14 days,"Common causes: peptic ulcers, varices; H. pylori testing important"
Acute Kidney Injury,URGENT,Within 24 hrs,"Rising creatinine, decreased urine output, fluid overload, electrolyte imbalances","IV fluids or fluid restriction, treat underlying cause, electrolyte management, possible dialysis",Nephrologist,7-21 days,Diabetes and dehydration common causes; early detection prevents chronic kidney disease
Chronic Kidney Disease (Advanced),URGENT,Within 48 hrs,"High BP, anemia, electrolyte abnormalities, uremia symptoms, fluid retention","Blood pressure control, anemia management, phosphate binders, dietary restrictions, dialysis preparation",Nephrologist,Lifelong,Growing epidemic in India; diabetes and hypertension main causes; dialysis/transplant needed
Brain Hemorrhage,EMERGENCY,IMMEDIATE ER,"Sudden severe headache, confusion, vomiting, high BP, neurological deficits","Emergency CT scan, blood pressure control, neurosurgical evaluation, ICU monitoring, possible surgery",Neurosurgeon/Intensivist,14-30 days hospital,Often related to uncontrolled hypertension; rapid intervention crucial
Seizure Disorders (Status Epilepticus),EMERGENCY,IMMEDIATE ER,"Continuous seizures >5 minutes, loss of consciousness, convulsions","Benzodiazepines, anticonvulsants, airway protection, IV access, ICU monitoring, identify trigger",Neurologist,3-7 days hospital,Requires immediate treatment; non-compliance with medications common cause
Encephalitis,EMERGENCY,IMMEDIATE ER,"Fever, confusion, seizures, severe headache, altered consciousness","IV antivirals (acyclovir if HSV suspected), steroids, supportive care, ICU monitoring, lumbar puncture",Neurologist/Intensivist,14-21 days,Japanese encephalitis common in India; vaccination available for high-risk areas
Common Cold,MILD,Home Care,"Runny nose, sore throat, mild cough, low-grade fever, body aches","Rest, hydration, symptomatic relief (decongestants, antihistamines), warm fluids, steam inhalation",General Practitioner if needed,5-7 days,Very common; viral infection; antibiotics not needed; improves immunity
Seasonal Flu (Influenza),MODERATE,Within 3-7 days,"High fever, cough, fatigue, muscle pain, headache","Rest, hydration, antipyretics (paracetamol), antiviral medications if started early (oseltamivir), monitor for complications",General Practitioner,7-10 days,Annual vaccination recommended; can be severe in elderly/children
Acute Bronchitis,MODERATE,Within 3-7 days,"Persistent cough, chest discomfort, mild fever, mucus production","Rest, hydration, cough suppressants, bronchodilators if wheezing, usually viral (antibiotics only if bacterial)",General Practitioner,10-14 days,Common in winter and post-monsoon; pollution exacerbates symptoms in urban areas
Allergic Rhinitis,MILD,Routine Visit,"Sneezing, runny nose, itchy eyes/nose, seasonal pattern","Antihistamines, nasal corticosteroid sprays, allergen avoidance, saline nasal rinses",General Practitioner/ENT,Chronic/Seasonal,"Very common in India; dust mites, pollen triggers; air quality impacts severity"
Sinusitis,MODERATE,Within 7 days,"Facial pain/pressure, headache, nasal congestion, thick nasal discharge","Saline irrigation, decongestants, nasal corticosteroids, pain relievers, antibiotics if bacterial (10-14 days)",General Practitioner/ENT,10-14 days,Common post-cold complication; steam inhalation helps; chronic cases need further evaluation
Gastritis,MODERATE,Within 7 days,"Upper abdominal pain, nausea, bloating, loss of appetite","Proton pump inhibitors, H2 blockers, antacids, dietary modifications, avoid NSAIDs, H. pylori testing",General Practitioner/Gastroenterologist,2-4 weeks,Very common in India; spicy food tolerance varies; H. pylori prevalence high
Acid Reflux/GERD,MODERATE,Within 7 days,"Heartburn, chest discomfort, sore throat, regurgitation, worse when lying down","Proton pump inhibitors, lifestyle modifications (weight loss, avoid triggers), elevate head while sleeping, dietary changes",General Practitioner/Gastroenterologist,4-8 weeks initially,Chronic condition; obesity and diet-related; long-term management needed
Irritable Bowel Syndrome (IBS),MODERATE,Routine Visit,"Abdominal pain, bloating, diarrhea/constipation, symptom pattern, stress-related","Dietary modifications (low FODMAP), fiber supplements, antispasmodics, probiotics, stress management, psychological support",Gastroenterologist,Chronic management,Diagnosis of exclusion; stress and diet major triggers; affects quality of life
Gastroenteritis (Viral),MODERATE,Within 24-48 hrs,"Diarrhea, nausea, vomiting, abdominal cramps, mild fever, dehydration risk","Oral rehydration solutions (ORS), rest, gradual diet reintroduction, anti-emetics if severe, monitor for dehydration",General Practitioner,3-7 days,Common in monsoon season; contaminated water/food; hand hygiene crucial
Indigestion,MILD,Home Care/Routine,"Discomfort in upper abdomen, nausea, bloating, fullness after eating","Antacids, dietary modifications, smaller frequent meals, avoid trigger foods, over-the-counter medications",General Practitioner if persistent,Days to weeks,Very common; lifestyle and dietary factors; stress-related
Food Poisoning (Mild),MODERATE,Monitor at home,"Nausea, vomiting, diarrhea, abdominal cramps within hours of eating","Hydration with ORS, rest, avoid solid food initially, bland diet, probiotics, medical attention if severe/persistent",General Practitioner if needed,24-48 hours,Common with street food; proper food handling and hygiene essential
Type 2 Diabetes (Early/Managed),MODERATE,Within 1-2 weeks,"High fasting glucose (>126 mg/dL), family history, increased thirst/urination","Lifestyle modifications (diet, exercise), oral hypoglycemics (metformin first-line), blood sugar monitoring, HbA1c tracking",Endocrinologist/Diabetologist,Lifelong management,Epidemic in India; genetic predisposition high; early screening recommended age 30+
Pre-diabetes,MODERATE,Within 2-4 weeks,"Fasting glucose 100-125 mg/dL, HbA1c 5.7-6.4%, lifestyle risk factors","Intensive lifestyle modifications (weight loss 5-7%, exercise 150 min/week), dietary counseling, regular monitoring",General Practitioner/Diabetologist,Ongoing prevention,High prevalence in India; reversible with lifestyle changes; prevent progression to diabetes
Hyperlipidemia,MODERATE,Within 2-4 weeks,"High cholesterol (>200 mg/dL), high LDL, low HDL, family history","Statins, dietary modifications (low saturated fat), regular exercise, weight management, periodic lipid monitoring",Cardiologist/General Practitioner,Lifelong management,Common in urban India; diet transition to processed foods; cardiovascular risk factor
Metabolic Syndrome,MODERATE,Within 1-2 weeks,"High BP, high glucose, high cholesterol, abdominal obesity (waist >90cm men, >80cm women)","Comprehensive lifestyle modification, medications for individual components, weight loss target, regular monitoring",Endocrinologist/Cardiologist,Lifelong management,Growing problem in India; urbanization and lifestyle changes; increases CVD risk 2-3x
Arthritis (Osteoarthritis),MODERATE,Within 2-4 weeks,"Joint pain, stiffness worse with activity, age >45, joint swelling","Pain relievers (paracetamol, NSAIDs), physiotherapy, weight management, joint protection strategies, topical analgesics",Orthopedist/Rheumatologist,Chronic management,Common in elderly; obesity increases risk; physiotherapy important for mobility
Rheumatoid Arthritis (Early),MODERATE,Within 1-2 weeks,"Joint pain, morning stiffness >30 minutes, swelling, symmetrical pattern","Disease-modifying antirheumatic drugs (DMARDs), NSAIDs, physiotherapy, regular monitoring",Rheumatologist,Lifelong management,Autoimmune condition; early treatment prevents joint damage; women more affected
Muscle Strain,MILD,Home Care,"Localized muscle pain, tenderness, swelling, limited movement after exertion","Rest, ice/heat therapy, pain relievers (paracetamol, NSAIDs), gentle stretching, gradual return to activity",General Practitioner if severe,1-2 weeks,Common sports/overuse injury; proper warm-up prevents; physiotherapy for severe cases
Back Pain (Non-specific),MODERATE,Within 1 week,"Lower back pain, muscle spasm, limited mobility, no neurological symptoms","Pain relievers, muscle relaxants, physiotherapy, heat therapy, exercise, posture correction",Orthopedist/Physiotherapist,2-6 weeks,Very common; sedentary lifestyle and poor posture contribute; chronic cases need evaluation
Fibromyalgia,MODERATE,Within 2-4 weeks,"Widespread muscle pain, fatigue, poor sleep, tender points, chronic pattern","Pain management (duloxetine, pregabalin), sleep improvement, exercise, cognitive behavioral therapy, stress management",Rheumatologist/Pain specialist,Chronic management,More common in women; diagnosis challenging; multidisciplinary approach needed
Upper Respiratory Tract Infection,MILD,Home Care,"Runny nose, sore throat, mild cough, low-grade fever, congestion","Rest, hydration, symptomatic relief (decongestants, antihistamines), warm gargles, steam inhalation",General Practitioner if worsens,5-7 days,Very common; viral; antibiotics not indicated; hand hygiene prevents spread
Pharyngitis,MILD,Within 3-5 days,"Sore throat, pain on swallowing, mild fever, red throat","Pain relievers, warm salt water gargles, throat lozenges, hydration, antibiotics only if bacterial (strep throat)",General Practitioner,5-7 days,Common; mostly viral; strep throat needs antibiotics to prevent complications
Tonsillitis,MODERATE,Within 3-5 days,"Sore throat, fever, swollen tonsils with white patches, difficulty swallowing","Antibiotics if bacterial, pain relievers, antipyretics, rest, hydration, warm gargles",General Practitioner/ENT,7-10 days,Common in children; recurrent cases may need tonsillectomy
Urinary Tract Infection (Simple),MODERATE,Within 24-48 hrs,"Burning urination, frequent urination, lower abdominal discomfort, cloudy urine","Antibiotics (nitrofurantoin, trimethoprim-sulfamethoxazole) 3-7 days, increased fluid intake, cranberry supplements",General Practitioner,3-7 days,Common in women; proper hygiene important; recurrent cases need evaluation
Conjunctivitis,MILD,Within 2-3 days,"Red eyes, discharge, itching, tearing, crusting of eyelids","Antibiotic eye drops if bacterial, antihistamine drops if allergic, warm compresses, hygiene measures",General Practitioner/Ophthalmologist,5-7 days,Highly contagious if viral/bacterial; avoid sharing towels; hand hygiene crucial
Hypertension (Stage 1),MODERATE,Within 1-2 weeks,"BP 130-139/80-89 mmHg, usually asymptomatic, family history, lifestyle risk factors","Lifestyle modifications initially (DASH diet, exercise, weight loss, salt restriction), single antihypertensive if needed, regular monitoring",General Practitioner/Cardiologist,Lifelong management,Silent killer; screening recommended age 30+; high prevalence in India; medication adherence crucial
Prehypertension,MODERATE,Within 2-4 weeks,"BP 120-129/<80 mmHg, no symptoms, risk factors present","Intensive lifestyle modifications, weight loss, regular exercise, dietary changes, stress management, regular BP monitoring",General Practitioner,Ongoing prevention,Preventive stage; lifestyle changes can reverse; regular monitoring prevents progression
Hypotension (Chronic),MILD,Routine Visit,"BP <90/60 mmHg, dizziness, fatigue, fainting episodes, usually constitutional","Increase salt/fluid intake, compression stockings, small frequent meals, avoid sudden position changes, identify cause",General Practitioner/Cardiologist,Variable,Common in young females; usually benign; rule out underlying causes
Iron Deficiency Anemia (Mild),MODERATE,Within 1-2 weeks,"Hemoglobin 10-12 g/dL, fatigue, pallor, weakness, dietary inadequacy","Oral iron supplements (ferrous sulfate), vitamin C for absorption, dietary counseling (green leafy vegetables, jaggery), treat underlying cause",General Practitioner,8-12 weeks,"Very common in Indian women and children; menstrual loss, poor diet; prevention through nutrition"
Vitamin B12 Deficiency Anemia,MODERATE,Within 2-4 weeks,"Low hemoglobin, fatigue, tingling in hands/feet, memory problems, dietary pattern (vegetarian)","Vitamin B12 supplements (oral or injections), dietary modifications, fortified foods, treat underlying absorption issues",General Practitioner/Hematologist,3-6 months,Common in vegetarians; fortified foods important; neurological symptoms if prolonged
Tension Headache,MILD,Home Care,"Bilateral headache, tight band sensation, no nausea, stress-related, muscle tension","Pain relievers (paracetamol, ibuprofen), stress management, adequate sleep, relaxation techniques, posture correction",General Practitioner if frequent,Hours to days,Most common headache; stress and screen time contribute; lifestyle modifications help
Migraine,MODERATE,Within 1 week,"Severe unilateral headache, nausea, photophobia, aura, family history","Acute treatment (triptans, NSAIDs), preventive medications if frequent, trigger avoidance, lifestyle modifications",Neurologist,4-72 hours per episode,Common; more in women; identify and avoid triggers; prophylactic treatment for frequent attacks
Cluster Headache,MODERATE,Within 1 week,"Severe unilateral periorbital pain, tearing, nasal congestion, episodic pattern","Acute: oxygen therapy, triptans; Preventive: verapamil, lithium; lifestyle modifications",Neurologist,Episodes last weeks-months,More common in men; smoking association; oxygen therapy very effective for acute attacks
Vertigo (Benign Positional),MODERATE,Within 3-5 days,"Spinning sensation with position changes, nausea, imbalance, normal neurological exam","Vestibular exercises (Epley maneuver), anti-vertigo medications (betahistine), anti-emetics if needed",ENT/Neurologist,Days to weeks,Common; inner ear problem; exercises very effective; rule out central causes
Skin Rash (Allergic),MILD,Within 2-3 days,"Itchy rash, redness, possible allergen exposure, no systemic symptoms","Antihistamines, topical corticosteroids, allergen avoidance, cool compresses, moisturizers",General Practitioner/Dermatologist,5-10 days,"Common triggers: cosmetics, detergents, plants; identify and avoid allergens"
Eczema (Atopic Dermatitis),MODERATE,Within 1 week,"Itchy dry patches, redness, family history of allergies, chronic relapsing pattern","Emollients, topical corticosteroids, antihistamines, avoid triggers, moisturize regularly",Dermatologist,Chronic management,Common in children; genetic component; environmental triggers; long-term management needed
Psoriasis,MODERATE,Within 1-2 weeks,"Red scaly patches, silvery scales, itching, nail changes, family history","Topical treatments (corticosteroids, vitamin D analogs), phototherapy, systemic medications if severe, stress management",Dermatologist,Chronic management,Autoimmune condition; stress trigger; affects quality of life; newer biologics available
Anxiety Disorder,MODERATE,Within 1-2 weeks,"Excessive worry, restlessness, palpitations, high stress levels, physical symptoms","Cognitive behavioral therapy, relaxation techniques, SSRIs/SNRIs if moderate-severe, stress management, regular exercise",Psychiatrist/Psychologist,3-6 months minimum,Common; stigma in India; early intervention helps; combination therapy effective
Depression (Mild-Moderate),MODERATE,Within 1 week,"Persistent sadness, fatigue, loss of interest, sleep changes, poor concentration","Psychotherapy (CBT), antidepressants (SSRIs) if moderate-severe, lifestyle modifications, social support",Psychiatrist/Psychologist,6-12 months minimum,Common but underdiagnosed in India; not just 'sadness'; treatment effective
Stress-related Disorders,MODERATE,Within 1-2 weeks,"Multiple physical symptoms, high stress, anxiety, sleep disturbance, work pressure","Stress management techniques, counseling, relaxation exercises, lifestyle modifications, possibly anxiolytics short-term",Psychologist/Psychiatrist,Variable,Very common in urban India; work-life balance; meditation and yoga helpful
Hypothyroidism,MODERATE,Within 2-4 weeks,"Fatigue, weight gain, cold intolerance, constipation, elevated TSH, low T4","Levothyroxine replacement, regular TSH monitoring, dose adjustments, lifelong therapy",Endocrinologist,Lifelong management,Common especially in women; iodine deficiency less common now; regular monitoring needed
Hyperthyroidism,MODERATE,Within 1 week,"Weight loss, rapid heart rate, heat intolerance, tremor, anxiety, low TSH","Antithyroid medications (methimazole), beta-blockers for symptoms, radioactive iodine or surgery for definitive treatment",Endocrinologist,12-18 months medication,Less common than hypothyroidism; Graves' disease main cause; eye changes possible
Vitamin D Deficiency,MODERATE,Within 2-4 weeks,"Fatigue, muscle pain, bone pain, frequent infections, low vitamin D levels","Vitamin D supplementation (60,000 IU weekly for 8 weeks then maintenance), calcium, sun exposure",General Practitioner,3-6 months,"Very common in India despite sunny climate; indoor lifestyle, clothing; affects bones and immunity"
Obesity,MODERATE,Within 2-4 weeks,"BMI >30 kg/m², increased waist circumference, lifestyle factors, comorbidities","Dietary modifications (calorie deficit), regular exercise (150+ min/week), behavioral therapy, medical management if needed",Endocrinologist/Dietitian,Lifelong management,"Rising in urban India; increases risk of diabetes, hypertension, CVD; multidisciplinary approach"
Dehydration,MILD,Home Care/ER if severe,"Dry mouth, thirst, dark urine, dizziness, low BP if severe","Oral rehydration (ORS, water, electrolyte drinks), rest, IV fluids if severe, treat underlying cause",General Practitioner if severe,Hours to 1-2 days,Common in summer; diarrhea/vomiting; prevention crucial; elderly at higher risk
Sleep Disorders,MODERATE,Within 1-2 weeks,"Poor sleep quality, fatigue, difficulty falling/staying asleep, lifestyle factors, snoring","Sleep hygiene, cognitive behavioral therapy, treat underlying causes (OSA, anxiety), possibly short-term sleep aids",Sleep Specialist/Pulmonologist,Variable,"Common with stress, shift work; screen time affects sleep; sleep apnea needs evaluation"
Chronic Fatigue Syndrome,MODERATE,Within 2-4 weeks,"Persistent fatigue >6 months, post-exertional malaise, unrefreshing sleep, cognitive difficulties","Graded exercise therapy, cognitive behavioral therapy, symptomatic management, treat comorbidities",Internist/Specialist,Months to years,Diagnosis of exclusion; affects quality of life; multidisciplinary management
Heat Exhaustion,MODERATE,Immediate cooling,"High body temperature, profuse sweating, fatigue, headache, nausea, rapid pulse","Move to cool place, hydration with ORS, cool compresses, rest, monitor for heat stroke",General Practitioner if severe,Hours to 1 day,Common in hot Indian summers; outdoor workers at risk; prevention with hydration
Dehydration (Mild),MILD,Home Care,"Thirst, dry mouth, fatigue, dizziness, decreased urine output","Increased fluid intake (water, ORS, coconut water), rest, avoid sun exposure",General Practitioner if persistent,Hours to 1 day,"Very common; summer heat, diarrhea; elderly and children vulnerable"
Nutritional Deficiencies,MODERATE,Within 2-4 weeks,"Various symptoms depending on deficiency, poor diet history, specific signs","Targeted supplementation (iron, B12, vitamin D, etc.), dietary counseling, treat malabsorption if present",Dietitian/General Practitioner,2-6 months,Common in India; poor diet diversity; vegetarian diet risks; screening recommended
