Company Name,Type,Claim Settlement Ratio (%),Network Hospitals,Sum Insured Range,Diseases Covered,Official Website,Toll-Free Number
Kotak Mahindra General Insurance,Private General Insurer,88.50,"9,500+",₹3 Lakh - ₹1 Crore,"Full medical coverage: Cardiac, Cancer, Neurological, Kidney/Liver, Orthopedic, Diabetes, Hypertension, Respiratory, Gastrointestinal, Thyroid, Eye, ENT, Maternity, Pediatric, Mental health, Critical illness, Emergency, Bank integration benefits",https://www.kotakgeneral.com,1800-266-4545
New India Assurance Company,Public Sector Insurer,96.50,"12,000+",₹1 Lakh - ₹50 Lakh,"Traditional comprehensive: Cardiac, Cancer, Neurological, Kidney/Liver, Orthopedic, Diabetes, Hypertension, Respiratory, Gastrointestinal, Thyroid, Eye, ENT, Maternity, Pediatric, Mental health, Senior citizen plans, COVID-19, Critical illness, Emergency, Trusted legacy coverage",https://www.newindia.co.in,1800-209-1415
National Insurance Company,Public Sector Insurer,85.70,"10,000+",₹1 Lakh - ₹25 Lakh,"Government-backed coverage: Cardiac, Cancer (Cancer Mediclaim), Neurological, Kidney/Liver, Orthopedic, Diabetes, Hypertension, Respiratory, Gastrointestinal, Thyroid, Eye, ENT, Maternity, Senior citizens (Varistha Mediclaim), Emergency, Bharat Swasth Suraksha coverage",https://www.nationalinsurance.nic.co.in,1800-200-7710
Oriental Insurance Company,Public Sector Insurer,84.90,"9,500+",₹1 Lakh - ₹25 Lakh,"Affordable comprehensive: Cardiac, Cancer, Neurological, Kidney/Liver, Orthopedic, Diabetes, Hypertension, Respiratory, Gastrointestinal, Thyroid, Eye, ENT, Maternity, Senior citizens (Red Carpet), Critical illness, Emergency, Family floater options",https://www.orientalinsurance.org.in,1800-118-485
United India Insurance Company,Public Sector Insurer,83.50,"9,000+",₹1 Lakh - ₹25 Lakh,"Complete health coverage: Cardiac, Cancer, Neurological, Kidney/Liver, Orthopedic, Diabetes, Hypertension, Respiratory, Gastrointestinal, Thyroid, Eye, ENT, Maternity, Family Medicare, Critical care, COVID-19 (Corona Rakshak), Emergency, Wide agent network support",https://www.uiic.co.in,1800-4253-3333
Narayana Health Insurance,Standalone Health Insurer,N/A (New 2024),Growing network,₹3 Lakh - ₹25 Lakh,"Comprehensive coverage with no waiting for asthma/BP/cholesterol from day 31. Covers: Cardiac, Cancer, Neurological, Orthopedic, Kidney/Liver, Diabetes, Hypertension, Respiratory (including asthma), Thyroid, Gastro, Maternity, Pediatric, Emergency care",https://www.narayanahealth.org/insurance,1800-123-1919
Care Health Insurance,Standalone Health Insurer,93.50,"20,000+",₹3 Lakh - ₹6 Crore,"Cardiac, Cancer, Neurological, Kidney/Liver diseases, Orthopedics, Diabetes, Respiratory diseases, Thyroid, Maternity, Mental health, Eye/ENT surgeries, Gynecological, Urological, Emergency care, International coverage",https://www.careinsurance.com,1800-102-4488
Aditya Birla Health Insurance,Standalone Health Insurer,92.97,"13,500+",₹2 Lakh - ₹2 Crore,"Cardiac, Cancer, Neurological, Kidney/Liver, Orthopedic, Diabetes with wellness programs, Hypertension, Obesity-related, Respiratory, Thyroid, Mental health with counseling, Maternity, Preventive care, Chronic disease management",https://www.adityabirlacapital.com/healthinsurance,1800-270-7000
Niva Bupa Health Insurance,Standalone Health Insurer,92.02,"10,000+",₹5 Lakh - Unlimited,"Cardiac conditions, All cancers, Neurosurgery, Orthopedics, Kidney/Liver diseases, Diabetes, Hypertension, Mental illness, Maternity, Accidents, Burns, Organ transplants, ICU care, Daycare procedures, COVID-19, AYUSH treatments",https://www.nivabupa.com,1800-266-4444
ManipalCigna Health Insurance,Standalone Health Insurer,91.20,"11,000+",₹3 Lakh - ₹1 Crore,"All major conditions: Cardiac surgeries, Cancer treatment, Neurosurgery, Orthopedic procedures, Kidney dialysis/transplant, Liver diseases, Diabetes, Hypertension, Respiratory conditions, Gastrointestinal, Maternity, Newborn care, Eye surgeries, Dental (accidental), Emergency care, ICU, Mental health",https://www.manipalcigna.com,1800-102-4488
Star Health and Allied Insurance,Standalone Health Insurer,82.31,"14,000+",₹1 Lakh - ₹25 Lakh,"COVID-19, Diabetes (Type 1 & 2), All Cancers, Cardiac diseases (heart attack, bypass, angioplasty), Chronic Kidney Disease, Autism, Cataract, Brain tumor, Stroke, Orthopedic conditions, Respiratory diseases, Liver diseases, Thyroid disorders, Hypertension, Mental health, Emergency conditions",https://www.starhealth.in,1800-425-2255
